JobID,TaskID,start_time,end_time,duration
0,0_M2,1607029123.3985898,1607029127.6866946,4.288104772567749
0,0_M0,1607029123.360107,1607029127.7082043,4.348097324371338
0,0_M4,1607029123.4655647,1607029128.7133386,5.247773885726929
0,0_M1,1607029123.748988,1607029128.7274506,4.9784626960754395
0,0_M3,1607029123.7490304,1607029128.7277358,4.978705406188965
0,0_R0,1607029129.0242567,1607029134.0233498,4.999093055725098
0,0_R1,1607029129.1679423,1607029134.0236464,4.855704069137573
0,0_R3,1607029129.173076,1607029134.0238178,4.850741863250732
0,0_R2,1607029129.34983,1607029134.15246,4.802630186080933
0,0_R4,1607029129.4417977,1607029134.152625,4.710827350616455
1,1_M0,1607029134.3454099,1607029139.2794313,4.934021472930908
1,1_M1,1607029134.3458607,1607029139.2796898,4.933829069137573
1,1_M3,1607029134.5553796,1607029139.279869,4.724489450454712
1,1_M2,1607029134.487842,1607029139.4884977,5.000655651092529
1,1_M4,1607029134.5952914,1607029139.4885938,4.8933024406433105
1,1_R0,1607029139.761681,1607029144.5526772,4.790996074676514
1,1_R1,1607029140.0521123,1607029144.5528963,4.500783920288086
1,1_R3,1607029140.0572307,1607029144.5530765,4.495845794677734
1,1_R2,1607029139.725021,1607029144.649042,4.924021005630493
1,1_R4,1607029140.0212717,1607029144.6491883,4.627916574478149
2,2_M0,1607029144.9432025,1607029149.8559012,4.912698745727539
2,2_M1,1607029145.0152261,1607029149.8559954,4.840769290924072
2,2_M2,1607029145.0880694,1607029149.9532442,4.865174770355225
2,2_M3,1607029145.1838949,1607029149.856048,4.6721532344818115
2,2_M4,1607029145.2767725,1607029149.9535315,4.6767590045928955
2,2_R0,1607029150.2699356,1607029155.2452812,4.975345611572266
2,2_R1,1607029150.4811313,1607029155.245579,4.7644476890563965
2,2_R3,1607029150.486258,1607029155.2457192,4.759461164474487
2,2_R2,1607029150.4287877,1607029155.4568415,5.0280537605285645
2,2_R4,1607029150.5209515,1607029155.4569385,4.9359869956970215
3,3_M0,1607029155.910178,1607029160.458937,4.5487589836120605
3,3_M2,1607029156.1532893,1607029160.9315023,4.778213024139404
3,3_M4,1607029156.204687,1607029160.9317198,4.727032661437988
3,3_M1,1607029156.3979197,1607029161.5105734,5.112653732299805
3,3_M3,1607029156.3979712,1607029161.5110173,5.113046169281006
3,3_R2,1607029162.014235,1607029166.198908,4.184673070907593
3,3_R0,1607029161.685496,1607029166.7744112,5.088915109634399
3,3_R1,1607029162.0323737,1607029166.774621,4.7422473430633545
3,3_R3,1607029162.236607,1607029166.7773275,4.540720462799072
3,3_R4,1607029162.0608776,1607029167.3347948,5.273917198181152
4,4_M0,1607029167.5004373,1607029171.9716341,4.471196889877319
4,4_M1,1607029167.5621405,1607029171.972033,4.409892559051514
4,4_M3,1607029167.730387,1607029171.9721365,4.24174952507019
4,4_M2,1607029167.6702023,1607029172.5823283,4.912126064300537
4,4_M4,1607029167.9051676,1607029172.5824835,4.677315950393677
4,4_R0,1607029172.957497,1607029177.243964,4.2864670753479
4,4_R2,1607029172.9453495,1607029177.9863834,5.041033983230591
4,4_R4,1607029173.0475845,1607029177.9867806,4.9391961097717285
4,4_R1,1607029173.0406091,1607029178.3250468,5.284437656402588
4,4_R3,1607029173.0457318,1607029178.3253396,5.279607772827148
5,5_M2,1607029178.7864177,1607029183.3030808,4.516663074493408
5,5_M4,1607029178.93991,1607029183.3033102,4.363400220870972
5,5_M0,1607029178.529622,1607029183.6635954,5.1339733600616455
5,5_M1,1607029178.5912108,1607029183.6640213,5.072810411453247
5,5_M3,1607029178.800226,1607029183.664138,4.863912105560303
5,5_R2,1607029184.1877162,1607029188.4887707,4.30105447769165
5,5_R0,1607029184.0689433,1607029189.0772972,5.00835394859314
5,5_R1,1607029184.3094609,1607029189.0776567,4.768195867538452
5,5_R3,1607029184.3094969,1607029189.0777667,4.768269777297974
5,5_R4,1607029184.3444884,1607029189.5067139,5.1622254848480225
6,6_M0,1607029189.6624095,1607029194.3426747,4.680265188217163
6,6_M1,1607029189.7344987,1607029194.3429537,4.608454942703247
6,6_M3,1607029189.9131486,1607029194.3432584,4.430109739303589
6,6_M2,1607029189.7315218,1607029194.8273108,5.095788955688477
6,6_M4,1607029190.1458137,1607029194.8277073,4.681893587112427
6,6_R0,1607029195.0540936,1607029199.573535,4.519441366195679
6,6_R1,1607029195.1006308,1607029199.5738263,4.473195552825928
6,6_R3,1607029195.3048432,1607029199.5740964,4.269253253936768
6,6_R2,1607029195.1449137,1607029200.072267,4.927353382110596
6,6_R4,1607029195.308348,1607029200.0725365,4.764188528060913
7,7_M0,1607029200.2830896,1607029204.8345847,4.55149507522583
7,7_M1,1607029200.3245633,1607029204.8348517,4.51028847694397
7,7_M3,1607029200.4289148,1607029204.8350065,4.406091690063477
7,7_M2,1607029200.4920166,1607029205.2784667,4.786450147628784
7,7_M4,1607029200.6050525,1607029205.2787964,4.673743963241577
7,7_R0,1607029205.4835653,1607029210.235111,4.751545667648315
7,7_R1,1607029205.5250697,1607029210.2352123,4.710142612457275
7,7_R3,1607029205.6991844,1607029210.235394,4.536209583282471
7,7_R2,1607029205.6264088,1607029210.598238,4.971829175949097
7,7_R4,1607029205.7136157,1607029210.59859,4.884974241256714
8,8_M0,1607029210.8999703,1607029215.638506,4.738535642623901
8,8_M1,1607029210.9565523,1607029215.6387458,4.6821935176849365
8,8_M3,1607029211.1655445,1607029215.6388812,4.473336696624756
8,8_M2,1607029211.1501954,1607029215.849444,4.699248552322388
8,8_M4,1607029211.399187,1607029215.8496616,4.450474500656128
8,8_R0,1607029216.1753454,1607029220.8406725,4.665327072143555
8,8_R1,1607029216.3545828,1607029220.8409226,4.486339807510376
8,8_R3,1607029216.482375,1607029220.8410695,4.358694553375244
8,8_R2,1607029216.2938132,1607029221.2285275,4.934714317321777
8,8_R4,1607029216.4518988,1607029221.2286053,4.7767064571380615
9,9_M0,1607029221.5483692,1607029226.070481,4.522111892700195
9,9_M1,1607029221.6559498,1607029226.0708637,4.414913892745972
9,9_M3,1607029221.7025526,1607029226.0710728,4.368520259857178
9,9_M2,1607029221.6288207,1607029226.564499,4.935678243637085
9,9_M4,1607029221.8948116,1607029226.5648067,4.669995069503784
9,9_R0,1607029226.7410495,1607029231.422317,4.681267499923706
9,9_R1,1607029226.864692,1607029231.4225628,4.557870864868164
9,9_R3,1607029226.9425073,1607029231.4227512,4.480243921279907
9,9_R2,1607029226.9183095,1607029231.7676992,4.8493897914886475
9,9_R4,1607029227.0825462,1607029231.7679799,4.685433626174927
