JobID,start_time,end_time,duration
0,1607006034.772091,1607006040.536271,5.7641801834106445
1,1607006040.663929,1607006045.96223,5.2983009815216064
2,1607006046.1058462,1607006051.4150572,5.309211015701294
3,1607006051.557856,1607006054.6289647,3.07110857963562
4,1607006054.7695904,1607006059.1310668,4.361476421356201
5,1607006059.2747228,1607006067.180105,7.90538215637207
6,1607006067.323707,1607006075.9355898,8.61188268661499
7,1607006076.127079,1607006079.255477,3.1283979415893555
8,1607006079.4150517,1607006085.9217322,6.506680488586426
9,1607006086.0483932,1607006093.647725,7.599331855773926
10,1607006093.790349,1607006101.3998878,7.609538793563843
11,1607006101.5903828,1607006110.03467,8.444287300109863
12,1607006110.1613297,1607006117.623455,7.462125301361084
13,1607006117.7670739,1607006123.274031,5.506957054138184
14,1607006123.4176495,1607006128.7221437,5.304494142532349
15,1607006128.8658009,1607006135.2395885,6.3737876415252686
16,1607006135.4131281,1607006140.554137,5.1410088539123535
17,1607006140.7127407,1607006146.3859875,5.67324686050415
18,1607006146.5446997,1607006149.674072,3.1293723583221436
19,1607006149.8017309,1607006156.3340597,6.532328844070435
