JobID,WorkerID,TaskID,start_time,end_time
0,2,0_M0,1607006034.835921,1607006038.3269083
0,2,0_M1,1607006035.074285,1607006039.4700053
0,2,0_R0,1607006039.7552366,1607006040.5043547
1,2,1_M0,1607006040.8075461,1607006041.537594
1,2,1_R0,1607006041.855742,1607006043.7318835
1,2,1_R1,1607006042.2367215,1607006045.9303155
2,2,2_M0,1607006046.3432472,1607006048.0776973
2,2,2_M1,1607006046.5027845,1607006049.1719246
2,2,2_R0,1607006049.5708556,1607006050.3148658
2,2,2_R1,1607006049.759352,1607006051.3831446
3,2,3_M0,1607006051.7174292,1607006053.533893
3,2,3_M1,1607006051.9557915,1607006053.5358887
3,2,3_R0,1607006053.6455946,1607006054.5980482
4,2,4_M0,1607006055.0239098,1607006056.8490322
4,2,4_M1,1607006055.2463138,1607006057.9241521
4,1,4_M2,1607006055.6432524,1607006057.972025
4,2,4_R0,1607006058.1625152,1607006059.035324
5,1,5_M2,1607006059.8940258,1607006059.9887724
5,2,5_M1,1607006059.6866214,1607006061.3532507
5,2,5_M0,1607006059.3375146,1607006062.3946025
5,2,5_R0,1607006062.8055046,1607006067.0384688
5,2,5_R1,1607006062.9959958,1607006067.0404632
6,2,6_M3,1607006067.8313477,1607006068.1923819
6,1,6_M2,1607006067.7356045,1607006068.9095945
6,2,6_M0,1607006067.4184523,1607006069.2257488
6,2,6_M1,1607006067.6089435,1607006071.3661773
6,2,6_R1,1607006072.139242,1607006072.5164387
6,2,6_R0,1607006071.6994185,1607006075.9046743
7,1,7_M2,1607006076.6961946,1607006076.7919385
7,2,7_M0,1607006076.4133143,1607006077.0143435
7,2,7_M1,1607006076.6493204,1607006077.0163386
7,2,7_R0,1607006077.4252462,1607006079.2235622
8,1,8_M2,1607006079.8741217,1607006079.9379494
8,2,8_M0,1607006079.620831,1607006080.333892
8,2,8_M1,1607006079.8262491,1607006083.533819
8,2,8_R0,1607006083.8350182,1607006085.889818
9,1,9_M2,1607006086.603073,1607006086.6818619
9,2,9_M0,1607006086.2398813,1607006088.1417077
9,2,9_M1,1607006086.525326,1607006089.304744
9,2,9_R1,1607006089.9382143,1607006091.497327
9,2,9_R0,1607006089.4784453,1607006093.6467257
10,1,10_M2,1607006094.3797643,1607006094.474661
10,2,10_M1,1607006094.3947608,1607006095.894861
10,2,10_M0,1607006093.933957,1607006097.057874
10,2,10_R0,1607006097.4868624,1607006098.090248
10,2,10_R1,1607006097.725225,1607006101.3679738
11,2,11_M0,1607006101.876613,1607006103.5783215
11,2,11_M1,1607006102.1149771,1607006105.7616868
11,2,11_R0,1607006105.9053025,1607006110.0027554
12,2,12_M0,1607006110.3209043,1607006112.1922424
12,2,12_M1,1607006110.5095716,1607006112.1942377
12,1,12_M2,1607006110.7000606,1607006112.8934963
12,2,12_M3,1607006111.1129577,1607006113.2914321
12,2,12_R0,1607006113.466123,1607006117.5915408
13,2,13_M0,1607006117.9236522,1607006118.6418636
13,2,13_R0,1607006118.8642685,1607006123.178287
13,2,13_R1,1607006119.0388007,1607006123.1792831
14,2,14_M0,1607006123.671122,1607006125.3527582
14,2,14_M1,1607006124.053099,1607006125.353758
14,2,14_R1,1607006125.8744903,1607006126.4630497
14,2,14_R0,1607006125.5573394,1607006128.690229
15,2,15_M0,1607006129.025333,1607006130.9046175
15,2,15_M1,1607006129.3743997,1607006131.9699204
15,2,15_R1,1607006132.6382928,1607006133.0342338
15,2,15_R0,1607006132.241195,1607006135.2236307
16,2,16_M0,1607006135.7134414,1607006136.2679598
16,2,16_M1,1607006135.9039319,1607006137.3761446
16,2,16_R0,1607006137.8518708,1607006139.5047557
16,2,16_R1,1607006138.1391027,1607006140.5391786
17,1,17_M2,1607006141.3460197,1607006141.4088502
17,2,17_M0,1607006141.108653,1607006141.6302578
17,2,17_M1,1607006141.3300657,1607006141.6312573
17,2,17_R1,1607006142.203725,1607006142.7573845
17,2,17_R0,1607006141.9334493,1607006146.3540728
18,2,18_M0,1607006146.7980213,1607006147.4333224
18,2,18_R0,1607006147.5445082,1607006149.5783281
19,2,19_M0,1607006150.039096,1607006151.6769912
19,2,19_R0,1607006152.0430124,1607006156.206401
