JobID,WorkerID,TaskID,start_time,end_time
1,2,1_M0,1606941118.264401,1606941118.2798948
1,3,1_R1,1606941118.3458107,1606941118.3662896
1,2,1_R0,1606941118.2958202,1606941119.2963126
0,1,0_M0,1606941117.9630392,1606941120.0161586
2,2,2_M1,1606941119.486069,1606941120.307734
2,2,2_M3,1606941119.5269818,1606941120.307955
2,2,2_M2,1606941119.5064983,1606941121.314267
3,2,3_M0,1606941119.6011367,1606941121.3143885
4,3,4_M0,1606941121.4690714,1606941121.4793518
2,1,2_M0,1606941119.4757862,1606941122.0380352
2,2,2_R1,1606941122.059117,1606941122.3204687
6,2,6_M1,1606941122.2961388,1606941122.320608
5,3,5_M0,1606941121.8574529,1606941122.4957855
6,1,6_M0,1606941122.2907665,1606941123.0953915
0,2,0_R0,1606941120.0320146,1606941123.336879
4,2,4_M1,1606941121.4243133,1606941123.3370728
3,1,3_R0,1606941121.340546,1606941124.1118207
4,1,4_M2,1606941121.4347012,1606941124.111994
7,2,7_M1,1606941123.3371577,1606941124.3427587
5,3,5_M2,1606941121.8781745,1606941124.5184822
7,3,7_M0,1606941123.317802,1606941124.5186841
4,1,4_M3,1606941121.4500983,1606941125.1284556
5,1,5_M1,1606941121.867819,1606941125.1286278
8,1,8_M0,1606941124.8051827,1606941125.1287558
3,2,3_R1,1606941121.3561034,1606941125.3592002
9,2,9_M1,1606941125.1758406,1606941125.3594341
2,3,2_R0,1606941122.0538418,1606941125.535009
7,3,7_R0,1606941124.54961,1606941125.5351486
7,3,7_R1,1606941124.5699875,1606941125.5352082
6,1,6_M2,1606941123.3124318,1606941126.1346421
8,1,8_M1,1606941124.8257163,1606941126.1348073
4,1,4_R0,1606941125.1342955,1606941127.1512246
9,1,9_M0,1606941125.1551685,1606941128.1677246
6,1,6_R1,1606941126.150597,1606941128.1678736
8,2,8_M2,1606941124.8208706,1606941128.4487994
8,2,8_M3,1606941124.8311996,1606941128.4489534
5,2,5_R0,1606941125.1498935,1606941128.4490273
9,2,9_R1,1606941128.2092845,1606941129.4546485
6,3,6_R0,1606941126.1504598,1606941129.585283
9,2,9_R0,1606941128.1888292,1606941131.4717486
8,2,8_R0,1606941128.4602292,1606941132.4883213
