JobID,WorkerID,TaskID,start_time,end_time
0,2,0_M1,1607007506.7411292,1607007506.8039615
0,1,0_M0,1607007506.5496435,1607007507.6469436
0,1,0_R1,1607007507.9152257,1607007509.8242304
0,3,0_R0,1607007507.8673546,1607007511.2056644
1,2,1_M0,1607007511.583773,1607007511.6795166
1,1,1_M2,1607007511.9647546,1607007513.0707955
1,3,1_M1,1607007511.9338381,1607007513.3410728
1,2,1_M3,1607007512.2659495,1607007514.864261
1,1,1_R1,1607007515.2602012,1607007516.4501667
1,3,1_R0,1607007514.9759626,1607007518.6566768
2,2,2_M0,1607007519.2879882,1607007519.3986945
2,1,2_R1,1607007519.680278,1607007519.744143
2,3,2_R0,1607007519.7600658,1607007522.1219466
3,2,3_M0,1607007522.5001118,1607007523.7369785
3,1,3_M2,1607007523.007754,1607007524.1658335
3,3,3_M1,1607007522.7713861,1607007526.495846
3,3,3_R1,1607007526.922706,1607007527.6040509
3,2,3_R0,1607007526.5756323,1607007529.9201076
4,1,4_M0,1607007530.3469872,1607007531.551883
4,2,4_M1,1607007530.521535,1607007532.2679672
4,3,4_R0,1607007532.599249,1607007532.6920013
5,1,5_M0,1607007533.1966507,1607007536.4939148
5,2,5_M1,1607007533.431024,1607007536.842981
5,1,5_R1,1607007537.065399,1607007537.5404046
5,3,5_R0,1607007537.08137,1607007538.3831499
6,2,6_M0,1607007539.001659,1607007539.0974026
6,2,6_M3,1607007539.4454708,1607007540.1432533
6,1,6_M2,1607007539.2709372,1607007540.42849
6,3,6_M1,1607007539.2709372,1607007540.696771
6,3,6_R0,1607007540.77556,1607007544.061049
7,1,7_M0,1607007544.473944,1607007545.6439433
7,2,7_M1,1607007544.6315224,1607007546.894741
7,3,7_M2,1607007544.947677,1607007547.3874207
7,1,7_R0,1607007547.5284202,1607007549.823923
7,2,7_R1,1607007547.860532,1607007551.1575077
8,3,8_M0,1607007551.4740298,1607007554.8513014
8,1,8_R0,1607007555.0417902,1607007557.3269742
8,2,8_R1,1607007555.1206222,1607007558.481222
9,2,9_M2,1607007559.3528855,1607007560.682814
9,1,9_M1,1607007559.0676484,1607007561.2712407
9,3,9_M0,1607007558.8462412,1607007562.3812714
9,3,9_R0,1607007562.5708973,1607007566.7262087
10,2,10_M1,1607007567.3625457,1607007569.6774654
10,1,10_M0,1607007567.139103,1607007570.4234726
10,3,10_M2,1607007567.6627033,1607007571.0888548
10,2,10_R1,1607007571.2793455,1607007571.3750894
10,1,10_R0,1607007571.3591332,1607007574.8043017
11,2,11_M2,1607007575.6171277,1607007577.8384318
11,3,11_M0,1607007575.3458548,1607007578.7132242
11,1,11_M1,1607007575.6969147,1607007579.0313728
11,1,11_R1,1607007579.3824353,1607007580.1294365
11,3,11_R0,1607007579.3664765,1607007581.974755
12,2,12_M0,1607007582.466596,1607007583.640641
12,3,12_M1,1607007582.7049572,1607007584.0834565
12,1,12_M2,1607007582.8794904,1607007586.225864
12,2,12_R0,1607007586.3056507,1607007587.4497378
13,2,13_M2,1607007588.0532584,1607007588.5620234
13,3,13_M0,1607007588.0532584,1607007589.2751184
13,1,13_M1,1607007587.9415963,1607007591.4047296
13,3,13_M3,1607007588.514151,1607007591.4836788
13,1,13_R0,1607007591.643288,1607007593.6621077
14,1,14_M2,1607007594.454987,1607007595.8512514
14,2,14_M0,1607007593.947344,1607007597.2315607
14,3,14_M1,1607007594.311371,1607007597.6115456
14,2,14_M3,1607007594.4709427,1607007598.2727764
14,3,14_R0,1607007598.606017,1607007598.730683
15,1,15_M0,1607007599.0448434,1607007599.1066775
15,2,15_R0,1607007599.310133,1607007601.5702348
15,3,15_R1,1607007599.62529,1607007602.0310037
16,2,16_M1,1607007602.6913862,1607007602.7552197
16,1,16_M0,1607007602.533842,1607007603.7547092
16,3,16_R0,1607007604.0409398,1607007604.1675997
16,1,16_R1,1607007604.1995158,1607007604.8818495
17,2,17_M0,1607007605.2468748,1607007607.4662387
17,3,17_M1,1607007605.405447,1607007607.64177
17,1,17_R0,1607007607.8462212,1607007609.0072837
17,2,17_R1,1607007608.0516734,1607007610.695007
18,2,18_M2,1607007611.6298966,1607007611.7576149
18,3,18_M3,1607007611.900174,1607007613.5959325
18,3,18_M0,1607007611.1717322,1607007614.6741786
18,1,18_M1,1607007611.4410121,1607007614.753966
18,1,18_R0,1607007614.8327556,1607007615.847171
19,2,19_M0,1607007616.211196,1607007618.495003
19,3,19_R0,1607007618.8131511,1607007618.9088967
19,1,19_R1,1607007619.0046935,1607007621.296782
